verdict,confidence,tier,brand_guess,matched_alias,match_location,flags,id,name,display_name,sku,category,price,stock,store_stock,needs_attention,decision,note
KEEP,high,B,Labubu,LABUBU,name,images=1,cmryqidp100ownrx4sepdzx3u,BANDO BULU LABUBU KA-KI,Aksesoris Fashion Anak Bando Bulu Labubu Ka-Ki,P-24110290,Aksesoris & Fashion,20000,6,0,,,
KEEP,high,B,Sanrio,SANRIO,name,images=1,cmryqidst00oynrx4pgwgbf8h,BANDO BULU SANRIO,Aksesoris Fashion Anak Bando Bulu Sanrio,P-24120781,Aksesoris & Fashion,20000,6,0,,,
KEEP,high,B,Sanrio,SANRIO,name,images=1,cmryqie0800p2nrx495vrnjfj,BANDO TELINGA LAMPU SANRIO MO3,Aksesoris Fashion Anak Bando Telinga Lampu Sanrio MO3,P-24120155,Aksesoris & Fashion,15000,12,0,,,
KEEP,high,A,Barbie,BARBIE,name,images=1,cmryqief600p9nrx4dj2tb2xt,BARBIE RAMBUT LURUS,Aksesoris Fashion Anak Barbie Rambut Lurus,8990001164196,Aksesoris & Fashion,13500,12,0,,,
KEEP,high,B,Labubu,LABUBU,name,images=1,cmryqinde00u1nrx4m28jku1x,GELANG HITAM MAGNET LABUBU,Aksesoris Fashion Anak Gelang Hitam Magnet Labubu,P-24100742,Aksesoris & Fashion,5000,48,0,,,
KEEP,high,B,Sanrio,SANRIO,name,images=1;in_carts=1,cmryqinh200u3nrx4ijixjid9,GELANG SANRIO 7500,Aksesoris Fashion Anak Gelang Sanrio 7500,P-24100691,Aksesoris & Fashion,7500,24,0,,,
KEEP,high,B,Sanrio,SANRIO,name,images=1,cmryqiqaq00vlnrx4uyjm1aub,JAM TANGAN ANAK SANRIO EO4,Aksesoris Fashion Anak Jam Tangan Anak Sanrio EO4,P-24090585,Aksesoris & Fashion,35000,12,0,,,
KEEP,high,B,Sanrio,SANRIO,name,images=1,cmryqiqee00vnnrx4pj1grdxo,JAM TANGAN ANAK SANRIO JIO3,Aksesoris Fashion Anak Jam Tangan Anak Sanrio JIO3,P-24090583,Aksesoris & Fashion,27000,12,0,,,
KEEP,high,B,Marvel,SPIDER-MAN,name,images=1,cmryqjdx40187nrx4kddorw71,SANDAL ANAK COWOK SPIDERMAN MO3,Aksesoris Fashion Anak Sandal Anak Cowok Spiderman MO3,P-23080540,Aksesoris & Fashion,13000,30,0,,,
KEEP,high,B,Sanrio,HELLO KITTY,name,images=1,cmryqjeur018pnrx4kel3z1kb,SETIR+KCMATA BO SET 6020A HELLO KITTY,Kacamata Anak Setir+Kcmata Bo Set 6020A Hello Kitty,P-23061008,Aksesoris & Fashion,19000,12,0,,,
KEEP,high,B,Sanrio,MY MELODY,name,images=1,cmryqjfh50191nrx4iw9mkhiz,SISIR ANAK DSET MY MELODY,Aksesoris Fashion Anak Sisir Anak Dset My Melody,P-24060071,Aksesoris & Fashion,4500,40,0,,,
KEEP,high,C,Kiky,KIKY,name,images=1,cmryqjj8o01b1nrx4lsplza9b,TAS BATIK KIKY C,Tas Anak Lucu Batik Kiky C,8990001423385,Aksesoris & Fashion,9000,180,0,,,
KEEP,high,B,Sanrio,CINNAMOROLL,name,images=1,cmryqjjg201b5nrx4sz9qclfl,TAS R CINNAMOROLL LAMPU,Tas Anak Lucu R Cinnamoroll Lampu,P-25040431,Aksesoris & Fashion,45000,3,0,,,
